time,qw,qx,qy,qz,roll,pitch,yaw
0.090044,0.995308,0.094752,-0.028814,0.002744,10.881,-3.318,0.000
0.100073,0.981168,0.173179,-0.086868,0.015337,20.029,-10.124,0.001
0.110102,0.957207,0.249523,-0.143376,0.037384,29.235,-17.046,0.001
0.120131,0.922784,0.336260,-0.177917,0.064848,40.061,-21.837,0.002
0.130160,0.878211,0.425627,-0.197241,0.095614,51.737,-25.330,0.002
0.140188,0.823350,0.513922,-0.205059,0.128021,63.970,-27.986,0.003
0.150217,0.757796,0.596953,-0.207599,0.163568,76.487,-30.658,0.003
0.160246,0.681790,0.674239,-0.202373,0.200171,89.392,-33.085,0.004
0.170275,0.639907,0.711792,-0.193961,0.215765,96.109,-33.738,0.001
0.180304,0.596560,0.746499,-0.184294,0.230630,102.760,-34.348,0.001
0.190333,0.553641,0.781692,-0.166243,0.234738,109.402,-33.440,0.001
0.200362,0.512654,0.814603,-0.144793,0.230091,115.651,-31.555,0.001
0.210391,0.471678,0.844217,-0.124457,0.222771,121.631,-29.574,0.001
0.220419,0.433917,0.867087,-0.109760,0.219344,126.845,-28.401,0.001
0.230448,0.400571,0.884149,-0.099464,0.219549,131.266,-27.899,0.001
0.240477,0.369927,0.899874,-0.088063,0.214230,135.318,-26.790,0.001
0.250506,0.343404,0.913538,-0.076916,0.204625,138.808,-25.258,0.000
0.260535,0.323619,0.922437,-0.069940,0.199360,141.345,-24.397,0.000
0.270564,0.313837,0.923489,-0.071168,0.209420,142.470,-25.561,0.000
0.280593,0.319055,0.916701,-0.079244,0.227677,141.630,-27.904,-0.000
0.290622,0.344462,0.900327,-0.095242,0.248923,138.139,-30.920,-0.001
0.300650,0.343606,0.869696,-0.130436,0.330132,136.906,-41.595,-0.001
0.310679,0.320404,0.838922,-0.157143,0.411458,138.221,-52.285,0.000
0.320708,0.339208,0.837960,-0.160529,0.396546,135.940,-50.668,-0.001
0.330737,0.437497,0.769861,-0.229846,0.404354,120.824,-55.458,-0.009
0.340766,0.546057,0.683276,-0.302937,0.378958,102.790,-58.071,-0.012
0.350795,0.598347,0.640990,-0.328265,0.351627,93.974,-57.523,-0.004
0.360824,0.647231,0.597223,-0.348389,0.321442,85.429,-56.608,-0.004
0.370853,0.693606,0.550045,-0.364709,0.289196,76.861,-55.494,-0.004
0.380881,0.774946,0.464565,-0.367987,0.220544,61.921,-50.828,-0.008
0.390910,0.807920,0.427475,-0.358852,0.189855,55.789,-47.916,-0.002
0.400939,0.832552,0.396243,-0.349856,0.166499,50.921,-45.602,-0.001
0.410968,0.850950,0.369983,-0.342230,0.148790,47.013,-43.832,-0.001
0.420997,0.869279,0.346200,-0.328157,0.130686,43.445,-41.377,-0.001
0.431026,0.887553,0.321849,-0.310284,0.112511,39.877,-38.551,-0.001
0.441055,0.904636,0.295365,-0.292485,0.095491,36.176,-35.845,-0.001
0.451084,0.920014,0.264957,-0.277918,0.080033,32.142,-33.627,-0.001
0.461112,0.931709,0.231632,-0.271960,0.067606,27.931,-32.554,-0.001
0.471141,0.943161,0.196648,-0.262770,0.054782,23.562,-31.146,-0.001
0.481170,0.954823,0.175868,-0.236145,0.043492,20.879,-27.791,-0.000
0.491199,0.964232,0.161964,-0.207556,0.034862,19.076,-24.303,-0.000
0.501228,0.972163,0.151025,-0.177755,0.027613,17.666,-20.729,-0.000
0.511257,0.978791,0.143773,-0.145303,0.021343,16.717,-16.893,-0.000
0.521286,0.972065,0.213388,-0.097444,0.021399,24.772,-11.454,0.001
0.531315,0.950147,0.256634,-0.172133,0.046500,30.243,-20.547,0.001
0.541344,0.926161,0.268527,-0.255108,0.073970,32.353,-30.815,0.001
0.551372,0.900039,0.258303,-0.337980,0.096998,32.043,-41.186,0.000
0.561401,0.878479,0.283477,-0.366370,0.118232,35.782,-45.294,0.001
0.571430,0.863587,0.335806,-0.350883,0.136455,42.512,-44.241,0.002
0.581459,0.850045,0.376621,-0.336982,0.149314,47.808,-43.265,0.002
0.591488,0.834406,0.401276,-0.340794,0.163900,51.383,-44.448,0.001
0.601517,0.822746,0.409717,-0.352956,0.175772,52.962,-46.454,0.001
0.611546,0.834104,0.400042,-0.342737,0.164377,51.261,-44.690,-0.000
0.621575,0.843394,0.399262,-0.325295,0.153995,50.681,-42.196,0.000
0.631604,0.849431,0.398727,-0.313231,0.147033,50.306,-40.496,0.000
0.641632,0.849941,0.392331,-0.319617,0.147535,49.570,-41.230,0.000
0.651661,0.790161,0.468689,-0.340112,0.201781,61.377,-46.605,0.005
0.661690,0.718278,0.557844,-0.328758,0.255384,75.701,-49.219,0.007
0.671719,0.636778,0.644815,-0.297364,0.301185,90.752,-50.097,0.008
0.681748,0.554308,0.724785,-0.248839,0.325442,105.214,-48.384,0.007
0.691777,0.510208,0.760382,-0.224107,0.334024,112.299,-47.447,0.002
0.701806,0.520059,0.754024,-0.227980,0.330541,110.831,-47.358,-0.000
0.711835,0.557473,0.732073,-0.237418,0.311763,105.444,-46.152,-0.001
0.721863,0.597577,0.704831,-0.247439,0.291834,99.438,-45.001,-0.001
0.731892,0.635011,0.673294,-0.260114,0.275781,93.375,-44.565,-0.001
0.741921,0.663668,0.647008,-0.269059,0.262295,88.565,-44.150,-0.001
