time,qw,qx,qy,qz,roll,pitch,yaw
0.090044,0.995308,0.094752,-0.028814,0.002744,10.881,-3.318,0.000
0.100073,0.981168,0.173184,-0.086863,0.015336,20.029,-10.123,0.001
0.110102,0.957205,0.249531,-0.143375,0.037385,29.236,-17.046,0.001
0.120131,0.922783,0.336266,-0.177913,0.064848,40.062,-21.837,0.002
0.130160,0.878204,0.425642,-0.197238,0.095617,51.739,-25.330,0.002
0.140188,0.823342,0.513939,-0.205049,0.128020,63.972,-27.985,0.003
0.150217,0.757794,0.596960,-0.207589,0.163563,76.488,-30.657,0.003
0.160246,0.681791,0.674241,-0.202367,0.200165,89.392,-33.084,0.004
0.170275,0.639912,0.711792,-0.193954,0.215755,96.108,-33.736,0.001
0.180304,0.596562,0.746500,-0.184289,0.230623,102.760,-34.347,0.001
0.190333,0.553635,0.781699,-0.166237,0.234734,109.403,-33.439,0.001
0.200362,0.512649,0.814605,-0.144794,0.230095,115.652,-31.556,0.001
0.210391,0.471674,0.844217,-0.124460,0.222778,121.631,-29.575,0.001
0.220419,0.433914,0.867087,-0.109763,0.219352,126.845,-28.402,0.001
0.230448,0.400572,0.884148,-0.099464,0.219550,131.266,-27.899,0.001
0.240477,0.369929,0.899876,-0.088060,0.214222,135.318,-26.788,0.001
0.250506,0.343412,0.913538,-0.076914,0.204613,138.807,-25.256,0.000
0.260535,0.323626,0.922435,-0.069940,0.199356,141.344,-24.397,0.000
0.270564,0.313838,0.923490,-0.071168,0.209418,142.470,-25.560,0.000
0.280593,0.319060,0.916702,-0.079242,0.227668,141.629,-27.903,-0.000
0.290622,0.344468,0.900329,-0.095238,0.248907,138.139,-30.918,-0.001
0.300650,0.343611,0.869702,-0.130430,0.330115,136.906,-41.593,-0.001
0.310679,0.320409,0.838933,-0.157135,0.411436,138.221,-52.282,0.000
0.320708,0.339207,0.837969,-0.160520,0.396530,135.941,-50.666,-0.001
0.330737,0.437487,0.769875,-0.229832,0.404346,120.826,-55.456,-0.009
0.340766,0.546037,0.683303,-0.302913,0.378957,102.794,-58.069,-0.012
0.350795,0.598321,0.641024,-0.328239,0.351633,93.980,-57.522,-0.004
0.360824,0.647218,0.597248,-0.348370,0.321444,85.433,-56.606,-0.004
0.370853,0.693591,0.550072,-0.364693,0.289203,76.864,-55.493,-0.004
0.380881,0.774932,0.464589,-0.367980,0.220555,61.924,-50.828,-0.008
0.390910,0.807909,0.427496,-0.358847,0.189865,55.791,-47.916,-0.002
0.400939,0.832546,0.396257,-0.349852,0.166504,50.923,-45.602,-0.001
0.410968,0.850946,0.369993,-0.342228,0.148794,47.015,-43.832,-0.001
0.420997,0.869278,0.346212,-0.328149,0.130687,43.447,-41.376,-0.001
0.431026,0.887551,0.321853,-0.310284,0.112513,39.877,-38.551,-0.001
0.441055,0.904635,0.295366,-0.292488,0.095492,36.176,-35.845,-0.001
0.451084,0.920015,0.264958,-0.277915,0.080032,32.142,-33.627,-0.001
