sample,float_qw,float_qx,float_qy,float_qz,vp_qw,vp_qx,vp_qy,vp_qz,q_l2_error,float_roll,float_pitch,float_yaw,vp_roll,vp_pitch,vp_yaw,err_roll,err_pitch,err_yaw
0,0.99530864,0.09475008,-0.02881096,0.00274400,0.99530846,0.09475177,-0.02881370,0.00274431,0.000003,10.8809,-3.3177,0.0001,10.8811,-3.3180,0.0001,0.0002,0.0003,0.0000
1,0.98149198,0.16994138,-0.09050441,0.01568375,0.98149097,0.16994403,-0.09050938,0.01568487,0.000006,19.6588,-10.5439,0.0015,19.6591,-10.5445,0.0015,0.0003,0.0006,0.0000
2,0.95854455,0.23684119,-0.15623660,0.03864708,0.95854259,0.23684436,-0.15624386,0.03864948,0.000009,27.7796,-18.5315,0.0050,27.7800,-18.5324,0.0050,0.0004,0.0009,0.0000
3,0.92467582,0.32468364,-0.18984552,0.06674260,0.92467177,0.32469049,-0.18985195,0.06674654,0.000011,38.7304,-23.2305,0.0094,38.7313,-23.2314,0.0094,0.0009,0.0009,0.0000
4,0.91339588,0.37905088,-0.14031167,0.05826581,0.91339791,0.37904212,-0.14032200,0.05826863,0.000014,45.1202,-17.4871,0.0041,45.1192,-17.4884,0.0041,0.0010,0.0012,0.0000
5,0.86724114,0.46811998,-0.15043914,0.08122148,0.86752802,0.46827966,-0.15047266,0.08130810,0.000341,56.7423,-19.6928,0.0018,56.7757,-19.7081,0.0090,0.0334,0.0153,0.0071
6,0.81149542,0.55108023,-0.16217321,0.11018745,0.81171095,0.55124211,-0.16218573,0.11029556,0.000291,68.3969,-22.6220,0.0057,68.4285,-22.6372,0.0155,0.0316,0.0152,0.0097
7,0.74626982,0.62770265,-0.17085995,0.14384273,0.74641824,0.62785703,-0.17084806,0.14396361,0.000246,80.1839,-25.8232,0.0123,80.2118,-25.8378,0.0240,0.0279,0.0146,0.0118
8,0.67182457,0.70140743,-0.16592833,0.17347528,0.67191392,0.70154452,-0.16589223,0.17359363,0.000205,92.5242,-27.7946,0.0209,92.5467,-27.8072,0.0336,0.0225,0.0126,0.0126
9,0.58965319,0.76853096,-0.15225685,0.19885492,0.58969378,0.76864177,-0.15220332,0.19895738,0.000165,105.0643,-29.0262,0.0316,105.0807,-29.0361,0.0438,0.0163,0.0099,0.0122
10,0.54781860,0.80083650,-0.13698448,0.20026703,0.54798675,0.80129409,-0.13673501,0.20060065,0.000641,111.2701,-28.0893,0.0010,111.3321,-28.1212,0.0470,0.0620,0.0319,0.0459
11,0.50761062,0.83149511,-0.11802086,0.19335873,0.50773752,0.83194429,-0.11773463,0.19366932,0.000629,117.2140,-26.1914,0.0022,117.2705,-26.2188,0.0491,0.0565,0.0274,0.0469
12,0.46653599,0.85948420,-0.10010290,0.18447602,0.46662506,0.85992074,-0.09978679,0.18475851,0.000615,123.0344,-24.2370,0.0035,123.0854,-24.2602,0.0508,0.0510,0.0232,0.0473
13,0.42445573,0.88347822,-0.08632359,0.17977151,0.42450565,0.88390380,-0.08598101,0.18002662,0.000605,128.6989,-23.0123,0.0050,128.7455,-23.0324,0.0527,0.0466,0.0200,0.0477
14,0.38295597,0.90364021,-0.07529350,0.17780530,0.38296846,0.90405482,-0.07492849,0.17803317,0.000598,134.0874,-22.2725,0.0066,134.1303,-22.2900,0.0547,0.0429,0.0174,0.0481
15,0.35409328,0.91653359,-0.06727879,0.17415214,0.35410243,0.91706926,-0.06684813,0.17439908,0.000730,137.7641,-21.5232,0.0003,137.8171,-21.5439,0.0555,0.0530,0.0207,0.0552
16,0.32691824,0.92864060,-0.05850104,0.16619481,0.32689029,0.92917526,-0.05805117,0.16641080,0.000732,141.2229,-20.2991,0.0007,141.2746,-20.3163,0.0560,0.0518,0.0172,0.0553
17,0.30395555,0.93743545,-0.05263492,0.16235904,0.30389214,0.93797171,-0.05216911,0.16254963,0.000738,144.0810,-19.6577,0.0010,144.1325,-19.6724,0.0565,0.0515,0.0147,0.0555
18,0.28886762,0.94011170,-0.05339360,0.17380334,0.28876638,0.94065279,-0.05291209,0.17398612,0.000754,145.8493,-20.9551,0.0013,145.9021,-20.9700,0.0576,0.0527,0.0149,0.0564
19,0.28786707,0.93590379,-0.05990862,0.19481201,0.28773391,0.93644869,-0.05941406,0.19500378,0.000772,145.8172,-23.5246,0.0014,145.8724,-23.5415,0.0589,0.0553,0.0169,0.0575
20,0.31367978,0.92082536,-0.07491308,0.21989852,0.31354913,0.92139530,-0.07441607,0.22013521,0.000803,142.3883,-26.8704,-0.0005,142.4493,-26.8932,0.0587,0.0611,0.0228,0.0592
21,0.29884320,0.89853323,-0.10168847,0.30571803,0.29861349,0.89901328,-0.10114178,0.30598390,0.000808,143.2277,-37.6020,-0.0013,143.2837,-37.6309,0.0641,0.0560,0.0288,0.0653
22,0.25847229,0.87678754,-0.11489198,0.38971770,0.25810382,0.87718344,-0.11425030,0.38998449,0.000881,147.1797,-47.9698,-0.0008,147.2305,-48.0007,0.0749,0.0508,0.0309,0.0757
23,0.27729663,0.86722696,-0.12620369,0.39464781,0.27692100,0.86763299,-0.12555748,0.39493114,0.000897,144.5704,-48.9808,-0.0022,144.6242,-49.0122,0.0745,0.0537,0.0314,0.0767
24,0.36921102,0.81364912,-0.18598422,0.40969375,0.36879337,0.81403679,-0.18533452,0.41005963,0.000938,131.2481,-53.5166,-0.0120,131.3041,-53.5434,0.0690,0.0561,0.0269,0.0810
25,0.47266239,0.73758703,-0.26048198,0.40636969,0.47240126,0.73809552,-0.26008236,0.40683728,0.000840,114.7429,-57.7477,-0.0113,114.8404,-57.8111,0.0483,0.0975,0.0634,0.0595
26,0.53001279,0.69552487,-0.29440343,0.38617173,0.52981824,0.69599283,-0.29410446,0.38662967,0.000746,105.4426,-58.1312,-0.0193,105.5364,-58.1928,0.0323,0.0938,0.0616,0.0516
27,0.64011663,0.60150564,-0.34893173,0.32758257,0.63997984,0.60186511,-0.34876615,0.32798880,0.000583,86.5255,-57.2246,-0.0409,86.5931,-57.2688,-0.0008,0.0676,0.0442,0.0401
28,0.73281336,0.50453508,-0.37690842,0.25908411,0.73269379,0.50479490,-0.37682083,0.25943965,0.000465,69.1942,-54.4729,-0.0597,69.2317,-54.5001,-0.0251,0.0374,0.0271,0.0346
29,0.80609345,0.42432284,-0.36615947,0.19225809,0.80595511,0.42450079,-0.36610326,0.19258793,0.000403,55.6177,-48.8924,-0.0682,55.6310,-48.9061,-0.0338,0.0133,0.0136,0.0345
30,0.83522725,0.39024910,-0.35136017,0.16415553,0.83543921,0.39030972,-0.35165566,0.16402942,0.000390,50.1070,-45.6476,-0.0018,50.1527,-45.6939,-0.0357,0.0457,0.0463,0.0340
31,0.85748130,0.36119628,-0.33810535,0.14239530,0.85768628,0.36123627,-0.33838397,0.14224464,0.000379,45.7042,-43.0553,-0.0033,45.7417,-43.0960,-0.0369,0.0375,0.0407,0.0336
32,0.87534267,0.33500773,-0.32608190,0.12476186,0.87554294,0.33503264,-0.32634252,0.12459300,0.000370,41.9047,-40.8787,-0.0046,41.9362,-40.9150,-0.0377,0.0315,0.0364,0.0331
33,0.89351630,0.31034014,-0.30712414,0.10662675,0.89370513,0.31035608,-0.30736154,0.10644838,0.000352,38.3257,-37.9535,-0.0058,38.3514,-37.9850,-0.0375,0.0257,0.0315,0.0317
34,0.91154146,0.28480789,-0.28378436,0.08861181,0.91171324,0.28481811,-0.28399643,0.08843020,0.000328,34.7209,-34.5995,-0.0071,34.7413,-34.6262,-0.0368,0.0204,0.0266,0.0297
35,0.92521042,0.26163426,-0.26493835,0.07491610,0.92545557,0.26163325,-0.26515886,0.07467148,0.000411,31.5898,-31.9682,-0.0005,31.6109,-31.9959,-0.0364,0.0211,0.0277,0.0359
36,0.93831486,0.23294836,-0.24857825,0.06170318,0.93855131,0.23292422,-0.24876696,0.06144518,0.000398,27.8945,-29.6854,-0.0012,27.9095,-29.7083,-0.0362,0.0150,0.0230,0.0350
37,0.94878292,0.19971652,-0.24019223,0.05054364,0.94900858,0.19966322,-0.24035567,0.05027345,0.000392,23.7831,-28.4225,-0.0020,23.7923,-28.4424,-0.0365,0.0091,0.0199,0.0345
38,0.95910037,0.16388153,-0.22826073,0.03897870,0.95930994,0.16379799,-0.22839223,0.03870049,0.000382,19.4012,-26.7838,-0.0030,19.4041,-26.7999,-0.0365,0.0029,0.0161,0.0335
