sample,qw,qx,qy,qz
0,0.99530864,0.09475008,-0.02881096,0.00274400
1,0.98149198,0.16994138,-0.09050441,0.01568375
2,0.95854455,0.23684119,-0.15623660,0.03864708
3,0.92467582,0.32468364,-0.18984552,0.06674260
4,0.91339588,0.37905088,-0.14031167,0.05826581
5,0.86724114,0.46811998,-0.15043914,0.08122148
6,0.81149542,0.55108023,-0.16217321,0.11018745
7,0.74626982,0.62770265,-0.17085995,0.14384273
8,0.67182457,0.70140743,-0.16592833,0.17347528
9,0.58965319,0.76853096,-0.15225685,0.19885492
10,0.54781860,0.80083650,-0.13698448,0.20026703
11,0.50761062,0.83149511,-0.11802086,0.19335873
12,0.46653599,0.85948420,-0.10010290,0.18447602
13,0.42445573,0.88347822,-0.08632359,0.17977151
14,0.38295597,0.90364021,-0.07529350,0.17780530
15,0.35409328,0.91653359,-0.06727879,0.17415214
16,0.32691824,0.92864060,-0.05850104,0.16619481
17,0.30395555,0.93743545,-0.05263492,0.16235904
18,0.28886762,0.94011170,-0.05339360,0.17380334
19,0.28786707,0.93590379,-0.05990862,0.19481201
20,0.31367978,0.92082536,-0.07491308,0.21989852
21,0.29884320,0.89853323,-0.10168847,0.30571803
22,0.25847229,0.87678754,-0.11489198,0.38971770
23,0.27729663,0.86722696,-0.12620369,0.39464781
24,0.36921102,0.81364912,-0.18598422,0.40969375
25,0.47266239,0.73758703,-0.26048198,0.40636969
26,0.53001279,0.69552487,-0.29440343,0.38617173
27,0.64011663,0.60150564,-0.34893173,0.32758257
28,0.73281336,0.50453508,-0.37690842,0.25908411
29,0.80609345,0.42432284,-0.36615947,0.19225809
30,0.83522725,0.39024910,-0.35136017,0.16415553
31,0.85748130,0.36119628,-0.33810535,0.14239530
32,0.87534267,0.33500773,-0.32608190,0.12476186
33,0.89351630,0.31034014,-0.30712414,0.10662675
34,0.91154146,0.28480789,-0.28378436,0.08861181
35,0.92521042,0.26163426,-0.26493835,0.07491610
36,0.93831486,0.23294836,-0.24857825,0.06170318
37,0.94878292,0.19971652,-0.24019223,0.05054364
38,0.95910037,0.16388153,-0.22826073,0.03897870
39,0.96935320,0.14124262,-0.19985646,0.02909255
40,0.97642291,0.12958166,-0.17191787,0.02281432
41,0.98259681,0.12001052,-0.14175691,0.01731203
42,0.98772395,0.11337667,-0.10823268,0.01242199
43,0.97854477,0.19125153,-0.07818849,0.01529523
44,0.96247858,0.21630825,-0.16174062,0.03638365
45,0.94146937,0.22206245,-0.24768309,0.05842371
46,0.91732121,0.20747834,-0.33230114,0.07516444
47,0.89570254,0.23003849,-0.36937696,0.09488148
48,0.88079238,0.28033656,-0.36445540,0.11603428
49,0.86238164,0.32569367,-0.36341545,0.13730896
50,0.84606707,0.35471040,-0.36729670,0.15399708
51,0.83226329,0.36877552,-0.37875354,0.16784197
52,0.84040570,0.36565527,-0.36712781,0.15975112
53,0.84765422,0.37067389,-0.34813929,0.15225740
54,0.85214549,0.37602082,-0.33334774,0.14711523
55,0.85218519,0.37137562,-0.33820635,0.14738862
56,0.79173237,0.44886169,-0.36086947,0.20463452
57,0.71771920,0.54191613,-0.34941882,0.26397666
58,0.63210088,0.63374054,-0.31528342,0.31641853
59,0.54547769,0.71817124,-0.26164424,0.34502417
60,0.49903440,0.75535423,-0.23430727,0.35468796
61,0.50638139,0.75221920,-0.23561968,0.35003960
62,0.54437101,0.73117816,-0.24575618,0.33010206
63,0.58617663,0.70351225,-0.25751328,0.30904889
64,0.66400182,0.63676482,-0.28337830,0.27168161
65,0.69062114,0.61117089,-0.28982842,0.25647661
66,0.69796449,0.60100764,-0.29535100,0.25431097
67,0.70489794,0.59390408,-0.29685208,0.25009620
68,0.72031933,0.57187724,-0.30773237,0.24429466
69,0.73896313,0.54434967,-0.31996182,0.23566546
70,0.75642258,0.51708692,-0.33094758,0.22622600
71,0.77423537,0.48665360,-0.34287381,0.21549878
72,0.78852278,0.45564485,-0.35796130,0.20681781
73,0.80286998,0.41935456,-0.37591997,0.19630763
74,0.81643605,0.38597009,-0.38864848,0.18367782
75,0.82172483,0.37221530,-0.39335296,0.17817265
76,0.82698494,0.35970944,-0.39650151,0.17245699
77,0.83511144,0.34119418,-0.39970693,0.16329235
78,0.84530461,0.31576097,-0.40403613,0.15090677
79,0.85789835,0.28540996,-0.40572807,0.13495089
80,0.86611319,0.25884312,-0.40998772,0.12252054
81,0.82137984,0.29052034,-0.46312386,0.16381297
82,0.77282238,0.31029484,-0.51413977,0.20646530
83,0.71892583,0.32658735,-0.55906868,0.25405085
84,0.72120649,0.19502960,-0.64217842,0.17361493
85,0.74619573,-0.17262238,-0.62665045,-0.14517400
86,0.79457718,-0.14747226,-0.57944697,-0.10777365
87,0.83654571,-0.11860736,-0.53009927,-0.07539478
88,0.85230631,-0.10989554,-0.50770372,-0.06569265
89,0.86489570,-0.10036163,-0.48911059,-0.05697779
90,0.86794889,-0.08181565,-0.48796529,-0.04599188
91,0.85696918,-0.04910481,-0.51245481,-0.02934770
92,0.81524777,-0.08936110,-0.56911641,-0.06237876
93,0.76067787,-0.18558022,-0.60469007,-0.14759903
94,0.63791096,-0.41180265,-0.54695964,-0.35345137
95,0.47226760,-0.62223047,-0.37751484,-0.49763650
96,0.52709669,-0.59518319,-0.40226710,-0.45441461
97,0.58811778,-0.54533631,-0.43815100,-0.40639138
98,0.64006388,-0.49668357,-0.46337450,-0.35962614
99,0.68111843,-0.45218837,-0.48006621,-0.31871441
100,0.70860767,-0.41233727,-0.49509844,-0.28807667
101,0.72030395,-0.38873929,-0.50577909,-0.27293199
102,0.71307379,-0.39589331,-0.50608689,-0.28094822
103,0.69332469,-0.42896041,-0.49262029,-0.30477247
104,0.66875666,-0.48492712,-0.45644665,-0.33099350
105,0.68224978,-0.52647209,-0.40189642,-0.31014538
106,0.72239155,-0.52477157,-0.36471334,-0.26494029
107,0.76191938,-0.51358229,-0.32777724,-0.22091842
108,0.79263520,-0.50903511,-0.28315052,-0.18179801
109,0.81358010,-0.51344234,-0.23185802,-0.14627138
110,0.81355256,-0.52906364,-0.20277329,-0.13186966
111,0.80540222,-0.55245280,-0.17769405,-0.12189636
112,0.79203022,-0.57805753,-0.15924904,-0.11624515
113,0.80097765,-0.57293469,-0.14210564,-0.10166467
114,0.81466681,-0.55769539,-0.13216481,-0.09048995
115,0.82478338,-0.54728067,-0.11922783,-0.07911338
116,0.82758641,-0.54907137,-0.09822439,-0.06517058
117,0.82499778,-0.55859178,-0.07243404,-0.04904998
118,0.81871074,-0.57158041,-0.04733428,-0.03305711
119,0.80698913,-0.59000593,-0.02569298,-0.01880164
120,0.78818309,-0.61525697,-0.01759216,-0.01373534
121,0.77123743,-0.63614118,-0.02192153,-0.01808802
122,0.75766689,-0.65126854,-0.03473261,-0.02986604
123,0.74859554,-0.65932214,-0.05425396,-0.04780044
124,0.75005114,-0.65398490,-0.07565099,-0.06598381
125,0.75479430,-0.64379770,-0.09646550,-0.08228068
126,0.76632577,-0.62600690,-0.11261161,-0.09199299
127,0.79670674,-0.58092219,-0.13556027,-0.09884243
128,0.81534982,-0.54098445,-0.17273434,-0.11460058
129,0.78657764,-0.56373662,-0.20562385,-0.14736106
130,0.76951224,-0.55945581,-0.24954218,-0.18142782
131,0.76558888,-0.53360945,-0.29526326,-0.20579889
132,0.75226372,-0.51447791,-0.34020892,-0.23267393
133,0.70805061,-0.54097021,-0.36112201,-0.27593613
134,0.66343391,-0.55749863,-0.38248822,-0.32148093
135,0.64982700,-0.55561161,-0.39441058,-0.33723155
136,0.64110166,-0.54664046,-0.41009361,-0.34967619
137,0.62529522,-0.54281133,-0.42359301,-0.36772931
138,0.54047960,-0.59240705,-0.40283045,-0.44162714
139,0.39583480,-0.68748331,-0.30382243,-0.52803600
140,0.31271058,-0.73464078,-0.23586693,-0.55421603
141,0.17778461,-0.79427195,-0.12684909,-0.56726426
142,0.08936791,-0.83341998,-0.05800518,-0.54266971
143,0.04234026,-0.86525458,-0.02421215,-0.49945870
144,0.01392862,-0.89321399,-0.00675592,-0.45000207
145,0.01123641,-0.90699780,-0.00521823,-0.42127904
146,-0.02750229,-0.92704844,0.01111588,-0.37423688
147,-0.06989428,-0.94148856,0.02448907,-0.32945177
148,-0.06558477,-0.96007532,0.01862720,-0.27222577
149,-0.07175785,-0.97448075,0.01575284,-0.21345283
150,-0.07273091,-0.98115623,0.01329044,-0.17929001
151,-0.07053723,-0.98676741,0.01048352,-0.14665943
152,-0.07137176,-0.99019617,0.00872752,-0.12108272
153,-0.07152946,-0.99138838,0.00799905,-0.11086253
154,-0.06989811,-0.99144101,0.00785696,-0.11144137
155,-0.06825311,-0.99030083,0.00839124,-0.12175025
156,-0.07074364,-0.98821795,0.00975783,-0.13630240
157,-0.09582477,-0.98063976,0.01669497,-0.17082362
158,-0.11082660,-0.97119981,0.02401010,-0.21035734
159,-0.11763047,-0.96024507,0.03088278,-0.25203052
160,-0.12531196,-0.95539016,0.03484331,-0.26564109
161,-0.13988627,-0.95219260,0.03954707,-0.26917312
162,-0.16266111,-0.94972134,0.04525266,-0.26417828
163,-0.18110251,-0.94395542,0.05209788,-0.27149859
164,-0.19370720,-0.93772250,0.05844728,-0.28287902
165,-0.19687638,-0.93422568,0.06141742,-0.29143882
166,-0.18796903,-0.94006979,0.05586648,-0.27940643
167,-0.17875238,-0.94713509,0.04949842,-0.26228890
168,-0.17498776,-0.95132685,0.04598444,-0.25001800
169,-0.18061729,-0.94871908,0.04861431,-0.25537124
170,-0.20112376,-0.93481922,0.06166529,-0.28660151
171,-0.22273387,-0.91883266,0.07687482,-0.31708780
172,-0.24253877,-0.90100199,0.09363846,-0.34778959
173,-0.25445935,-0.88260847,0.10966443,-0.38028625
174,-0.21665545,-0.90704018,0.08403120,-0.35173896
175,-0.18552049,-0.92810994,0.06335606,-0.31699368
176,-0.16115184,-0.94615340,0.04723283,-0.27740371
177,-0.16053624,-0.93457979,0.05383302,-0.31350097
178,-0.16132347,-0.92863441,0.05726517,-0.32974595
179,-0.16592290,-0.92132550,0.06240432,-0.34661409
180,-0.17171100,-0.91285723,0.06854077,-0.36437103
181,-0.17381930,-0.90425771,0.07368764,-0.38333103
182,-0.17100371,-0.89603728,0.07687361,-0.40279478
183,-0.16909258,-0.88738048,0.08035075,-0.42165878
184,-0.16985974,-0.87803441,0.08505050,-0.43962234
185,-0.17654109,-0.86835569,0.09239092,-0.45443201
186,-0.23959573,-0.85102034,0.12674442,-0.45009750
187,-0.30368802,-0.82733339,0.16300175,-0.44391397
188,-0.34736735,-0.79195130,0.20193502,-0.46017072
189,-0.36064607,-0.76136696,0.23090965,-0.48720396
190,-0.39564940,-0.71764463,0.27684185,-0.50210130
191,-0.48620665,-0.64647853,0.35363525,-0.47006831
192,-0.58447486,-0.55755162,0.42692041,-0.40702832
193,-0.67061144,-0.46260470,0.47780281,-0.32930815
194,-0.73684824,-0.38231775,0.49546662,-0.25674286
195,-0.76679075,-0.34410167,0.49461079,-0.22193885
196,-0.79094613,-0.31105670,0.49063271,-0.19291309
197,-0.81140494,-0.27984491,0.48539272,-0.16735092
198,-0.82405287,-0.25304341,0.48484272,-0.14881223
199,-0.82740963,-0.23872325,0.48872954,-0.14093128
