sample,qw,qx,qy,qz
0,0.99530846,0.09475177,-0.02881370,0.00274431
1,0.98149097,0.16994403,-0.09050938,0.01568487
2,0.95854259,0.23684436,-0.15624386,0.03864948
3,0.92467177,0.32469049,-0.18985195,0.06674654
4,0.91339791,0.37904212,-0.14032200,0.05826863
5,0.86752802,0.46827966,-0.15047266,0.08130810
6,0.81171095,0.55124211,-0.16218573,0.11029556
7,0.74641824,0.62785703,-0.17084806,0.14396361
8,0.67191392,0.70154452,-0.16589223,0.17359363
9,0.58969378,0.76864177,-0.15220332,0.19895738
10,0.54798675,0.80129409,-0.13673501,0.20060065
11,0.50773752,0.83194429,-0.11773463,0.19366932
12,0.46662506,0.85992074,-0.09978679,0.18475851
13,0.42450565,0.88390380,-0.08598101,0.18002662
14,0.38296846,0.90405482,-0.07492849,0.17803317
15,0.35410243,0.91706926,-0.06684813,0.17439908
16,0.32689029,0.92917526,-0.05805117,0.16641080
17,0.30389214,0.93797171,-0.05216911,0.16254963
18,0.28876638,0.94065279,-0.05291209,0.17398612
19,0.28773391,0.93644869,-0.05941406,0.19500378
20,0.31354913,0.92139530,-0.07441607,0.22013521
21,0.29861349,0.89901328,-0.10114178,0.30598390
22,0.25810382,0.87718344,-0.11425030,0.38998449
23,0.27692100,0.86763299,-0.12555748,0.39493114
24,0.36879337,0.81403679,-0.18533452,0.41005963
25,0.47240126,0.73809552,-0.26008236,0.40683728
26,0.52981824,0.69599283,-0.29410446,0.38662967
27,0.63997984,0.60186511,-0.34876615,0.32798880
28,0.73269379,0.50479490,-0.37682083,0.25943965
29,0.80595511,0.42450079,-0.36610326,0.19258793
30,0.83543921,0.39030972,-0.35165566,0.16402942
31,0.85768628,0.36123627,-0.33838397,0.14224464
32,0.87554294,0.33503264,-0.32634252,0.12459300
33,0.89370513,0.31035608,-0.30736154,0.10644838
34,0.91171324,0.28481811,-0.28399643,0.08843020
35,0.92545557,0.26163325,-0.26515886,0.07467148
36,0.93855131,0.23292422,-0.24876696,0.06144518
37,0.94900858,0.19966322,-0.24035567,0.05027345
38,0.95930994,0.16379799,-0.22839223,0.03870049
39,0.96954584,0.14114937,-0.19994399,0.02881837
40,0.97666979,0.12949519,-0.17198689,0.02251795
41,0.98282808,0.11992854,-0.14178854,0.01702151
42,0.98793566,0.11330052,-0.10822441,0.01213855
43,0.97865045,0.19116122,-0.07814091,0.01503402
44,0.96247464,0.21615292,-0.16169395,0.03612682
45,0.94152635,0.22189841,-0.24764290,0.05821311
46,0.91726589,0.20726801,-0.33221647,0.07495150
47,0.89563167,0.22979975,-0.36928308,0.09464529
48,0.88071257,0.28006786,-0.36437643,0.11578020
49,0.86229908,0.32539511,-0.36335599,0.13703406
50,0.84617507,0.35448343,-0.36730459,0.15380034
51,0.83238065,0.36852795,-0.37876400,0.16762686
52,0.84050632,0.36541730,-0.36713877,0.15955091
53,0.84773594,0.37043953,-0.34815708,0.15207374
54,0.85221547,0.37578729,-0.33337399,0.14694299
55,0.85227031,0.37117183,-0.33823362,0.14724566
56,0.79173487,0.44857705,-0.36089998,0.20445424
57,0.71768433,0.54151970,-0.34950873,0.26371619
58,0.63208002,0.63321763,-0.31549811,0.31605828
59,0.54549032,0.71754581,-0.26201007,0.34460098
60,0.49907127,0.75499845,-0.23445570,0.35460305
61,0.50643945,0.75184417,-0.23577917,0.34994900
62,0.54438710,0.73079783,-0.24588674,0.33001429
63,0.58612835,0.70313966,-0.25760207,0.30897158
64,0.66384721,0.63634849,-0.28337017,0.27160183
65,0.69052726,0.61081928,-0.28986940,0.25639045
66,0.69787449,0.60065210,-0.29538125,0.25421467
67,0.70481247,0.59354335,-0.29687575,0.24999335
68,0.72021860,0.57152539,-0.30772725,0.24418908
69,0.73883766,0.54401517,-0.31991878,0.23556496
70,0.75629765,0.51677519,-0.33089793,0.22611679
71,0.77407992,0.48636803,-0.34278673,0.21540642
72,0.78834003,0.45538998,-0.35783309,0.20674445
73,0.80265397,0.41914248,-0.37574241,0.19626579
74,0.81619251,0.38580245,-0.38843066,0.18367386
75,0.82152468,0.37204498,-0.39316350,0.17812604
76,0.82678276,0.35954741,-0.39629945,0.17241903
77,0.83490002,0.34105122,-0.39948848,0.16327345
78,0.84507704,0.31565031,-0.40379673,0.15091912
