
time,qw,qx,qy,qz,roll,pitch,yaw,hfbx,hfby,hfbz,ax,ay,az,hgx,hgy,hgz
0.062442,0.995231,-0.099833,-0.002445,0.000304,-11.461864,-0.275361,0.062609,-0.999567,-0.015265,0.000000,0.001648,-0.107910,-1.005417,0.000000,0.000000,0.500000
0.072469,0.980379,-0.198280,-0.002672,0.000987,-22.878307,-0.277789,0.171594,-0.999388,0.005381,0.005986,-0.006607,-0.104721,-1.008926,0.002403,-0.099358,0.490485
0.082496,0.955891,-0.294503,-0.000972,0.002035,-34.262459,-0.037780,0.255661,-0.999980,0.020302,0.013815,-0.015884,-0.095291,-1.009720,0.002424,-0.194392,0.461143
0.092524,0.922166,-0.387370,0.002171,0.003341,-45.589256,0.377743,0.256628,-0.998857,0.029589,0.020929,-0.023697,-0.086685,-1.008408,0.000330,-0.281515,0.413731
0.102552,0.879544,-0.476253,0.005269,0.004404,-56.890190,0.771409,0.156284,-1.000052,0.028251,0.019392,-0.022079,-0.090790,-1.006393,-0.003296,-0.357213,0.350402
0.112578,0.828576,-0.560189,0.008838,0.005679,-68.148949,1.203800,-0.028097,-0.999106,0.031883,0.024228,-0.027557,-0.105392,-0.997726,-0.006732,-0.418862,0.273617
0.122605,0.769801,-0.638489,0.012285,0.006834,-79.375954,1.583910,-0.296164,-0.999547,0.031417,0.021875,-0.025269,-0.115570,-0.988647,-0.010504,-0.464109,0.186570
0.132633,0.703954,-0.710378,0.014837,0.007001,-90.556549,1.767056,-0.643367,-0.999683,0.029483,0.007259,-0.010345,-0.106079,-0.993835,-0.013820,-0.491425,0.092640
0.142659,0.668687,-0.743529,0.016596,0.006934,-96.098816,1.862811,-0.883191,-0.497278,0.015326,0.001049,-0.005173,-0.099075,-1.004730,-0.015418,-0.499969,-0.004400
0.152687,0.632753,-0.774290,0.018565,0.007057,-101.524414,1.972627,-1.136244,-0.489555,0.015723,0.002677,-0.008743,-0.100525,-1.008423,-0.016253,-0.497074,-0.052809
0.162715,0.596485,-0.802509,0.020486,0.007621,-106.795967,2.101640,-1.364053,-0.476888,0.015415,0.006600,-0.017044,-0.102997,-0.991013,-0.017211,-0.489803,-0.099574
0.172741,0.559905,-0.828387,0.022347,0.008506,-111.936943,2.241778,-1.576967,-0.462702,0.013874,0.012801,-0.029617,-0.091995,-0.970840,-0.018336,-0.478528,-0.144147
0.182768,0.522920,-0.852148,0.024330,0.009756,-116.981796,2.411288,-1.793029,-0.448675,0.009694,0.022961,-0.050079,-0.067856,-0.949951,-0.019558,-0.463628,-0.186434
0.192795,0.486021,-0.873652,0.026114,0.011022,-121.883438,2.558713,-2.002939,-0.431319,0.006828,0.026637,-0.058975,-0.052597,-0.941467,-0.021036,-0.445368,-0.226459
0.202823,0.450071,-0.892656,0.027459,0.011343,-126.549202,2.577341,-2.226555,-0.409887,0.010247,0.018211,-0.043869,-0.049438,-0.959595,-0.022322,-0.424325,-0.263662
0.212850,0.415854,-0.909091,0.028163,0.010125,-130.900909,2.397468,-2.454259,-0.383574,0.020400,0.001462,-0.006760,-0.056961,-0.978470,-0.022484,-0.401447,-0.297307
0.222878,0.383891,-0.923053,0.028379,0.008204,-134.895721,2.116705,-2.643629,-0.353728,0.027092,-0.008673,0.018829,-0.069839,-0.986069,-0.020916,-0.377764,-0.326963
0.232904,0.354065,-0.934896,0.028656,0.007336,-138.571854,1.948932,-2.775059,-0.326533,0.021510,-0.004501,0.008743,-0.075226,-0.993729,-0.018468,-0.354119,-0.352560
0.242931,0.326152,-0.944976,0.029116,0.007809,-141.974182,1.934185,-2.863863,-0.302904,0.013297,0.002008,-0.009796,-0.072357,-0.998718,-0.017004,-0.330804,-0.374584
0.252958,0.299552,-0.953720,0.029499,0.008801,-145.185165,1.974825,-2.924817,-0.286681,0.011969,0.002926,-0.012436,-0.053192,-1.000671,-0.016876,-0.307978,-0.393564
0.262986,0.274379,-0.961243,0.029805,0.010022,-148.198807,2.041429,-2.971180,-0.269775,0.011755,0.003152,-0.013275,-0.037582,-0.995911,-0.017230,-0.285430,-0.410191
0.273013,0.251043,-0.967577,0.030112,0.011075,-150.972427,2.094648,-3.023570,-0.249916,0.012040,0.003013,-0.013580,-0.031601,-1.000061,-0.017811,-0.263446,-0.424616
0.283040,0.229618,-0.972856,0.030495,0.012280,-153.504547,2.171924,-3.080158,-0.230401,0.007690,0.005368,-0.024414,-0.027878,-1.007889,-0.018275,-0.242570,-0.436855
0.293067,0.210269,-0.977187,0.030984,0.013608,-155.781036,2.270958,-3.145700,-0.209838,0.001202,0.008293,-0.039917,-0.029190,-1.005737,-0.018949,-0.223011,-0.447125
0.303094,0.192964,-0.980730,0.031428,0.013990,-157.807190,2.267797,-3.226897,-0.189744,0.003252,0.006788,-0.036407,-0.033234,-1.001816,-0.019813,-0.205051,-0.455602
0.313121,0.177514,-0.983643,0.031826,0.013121,-159.607010,2.126832,-3.324575,-0.171758,0.007851,0.004142,-0.025833,-0.036621,-1.001846,-0.019785,-0.188806,-0.462569
0.323149,0.163893,-0.986011,0.032223,0.011473,-161.186890,1.901886,-3.429303,-0.153412,0.009028,0.002720,-0.020355,-0.044113,-1.001480,-0.018556,-0.174193,-0.468317
0.333177,0.151843,-0.987942,0.032621,0.009826,-162.580353,1.680224,-3.525749,-0.137641,0.007575,0.002247,-0.019135,-0.049759,-1.004532,-0.016594,-0.161230,-0.473008
0.343203,0.140983,-0.989549,0.032957,0.008712,-163.834778,1.520530,-3.600009,-0.124876,0.005710,0.002047,-0.018692,-0.051514,-0.996735,-0.014661,-0.149692,-0.476847
0.353230,0.131066,-0.990914,0.033156,0.007644,-164.977905,1.366101,-3.653528,-0.114415,0.010422,0.000140,-0.005829,-0.050766,-0.987549,-0.013268,-0.139222,-0.480048
0.363258,0.122020,-0.992073,0.033263,0.006408,-166.018143,1.193715,-3.695185,-0.105607,0.015145,-0.001459,0.006683,-0.049271,-0.995285,-0.011920,-0.129622,-0.482763
0.373284,0.113935,-0.993033,0.033431,0.005585,-166.947800,1.072026,-3.734625,-0.096037,0.010883,-0.000649,0.000992,-0.051422,-1.009415,-0.010416,-0.120839,-0.485070
0.383313,0.106183,-0.993896,0.033431,0.004791,-167.838043,0.952489,-3.752425,-0.088213,0.004870,0.000565,-0.009338,-0.051407,-1.015076,-0.009355,-0.112954,-0.486988
0.393340,0.098631,-0.994688,0.033004,0.004776,-168.706818,0.917435,-3.710999,-0.080511,-0.001838,0.001765,-0.020798,-0.050720,-1.001205,-0.008312,-0.105374,-0.488702
0.403366,0.091230,-0.995411,0.032256,0.006164,-169.562271,1.040414,-3.617883,-0.076241,-0.008075,0.002858,-0.031830,-0.042755,-0.969772,-0.008006,-0.097950,-0.490249
0.413394,0.084288,-0.996056,0.031295,0.005768,-170.357986,0.960635,-3.519002,-0.068309,0.012102,-0.000969,0.006134,-0.044968,-0.993927,-0.009079,-0.090612,-0.491639
0.423421,0.078124,-0.996588,0.030426,0.005218,-171.063461,0.868367,-3.430360,-0.059534,0.012554,-0.001121,0.008667,-0.050171,-1.021881,-0.008383,-0.083775,-0.492862
0.433448,0.073349,-0.996973,0.029617,0.005661,-171.612640,0.895708,-3.338311,-0.046886,0.003375,0.000188,-0.008804,-0.064484,-1.035675,-0.007578,-0.077699,-0.493869
0.443476,0.069931,-0.997232,0.028915,0.006744,-172.007828,1.002468,-3.252466,-0.038036,0.004814,-0.000109,-0.006317,-0.073547,-1.043701,-0.007816,-0.072959,-0.494588
0.453502,0.067429,-0.997412,0.028458,0.007477,-172.296768,1.074517,-3.197032,-0.036972,0.014898,-0.001439,0.012939,-0.068130,-1.037476,-0.008748,-0.069542,-0.495064
0.463529,0.066024,-0.997505,0.028351,0.007980,-172.459427,1.126761,-3.182510,-0.034134,0.016248,-0.001553,0.014420,-0.068665,-1.035477,-0.009376,-0.067042,-0.495397
0.473556,0.065567,-0.997525,0.028549,0.008530,-172.513824,1.189592,-3.201659,-0.029874,0.007913,-0.000455,-0.003922,-0.073563,-1.021255,-0.009832,-0.065633,-0.495577
0.483583,0.065994,-0.997484,0.028885,0.008911,-172.466324,1.237109,-3.236726,-0.023504,0.002276,0.000193,-0.016190,-0.083130,-0.991013,-0.010380,-0.065161,-0.495628
0.493611,0.066650,-0.997429,0.029297,0.008896,-172.391556,1.240613,-3.283138,-0.023487,0.000169,0.000489,-0.020767,-0.082092,-0.968613,-0.010795,-0.065571,-0.495565
0.503638,0.066955,-0.997401,0.029693,0.008347,-172.355240,1.181862,-3.332324,-0.029641,0.000013,0.000646,-0.021332,-0.072006,-0.977554,-0.010826,-0.066218,-0.495479
0.513666,0.066986,-0.997393,0.030060,0.007782,-172.350296,1.120238,-3.378492,-0.034323,-0.002950,0.001111,-0.026535,-0.064255,-0.990753,-0.010313,-0.066533,-0.495447
0.523692,0.066849,-0.997391,0.030411,0.007797,-172.366516,1.124195,-3.418682,-0.036143,-0.009199,0.001949,-0.037842,-0.060455,-0.986984,-0.009775,-0.066578,-0.495452
0.533720,0.066421,-0.997412,0.030655,0.007904,-172.416260,1.136779,-3.446261,-0.036708,-0.007785,0.001771,-0.034470,-0.058029,-0.969711,-0.009810,-0.066437,-0.495470
0.543746,0.065567,-0.997466,0.030670,0.008072,-172.514816,1.153142,-3.447761,-0.037321,-0.006715,0.001642,-0.031845,-0.054733,-0.947891,-0.009920,-0.066007,-0.495526
0.553774,0.064591,-0.997532,0.030441,0.008652,-172.628494,1.214377,-3.418475,-0.034570,-0.012986,0.002409,-0.043427,-0.057358,-0.932419,-0.010062,-0.065153,-0.495636
0.563801,0.063552,-0.997609,0.029892,0.009384,-172.749359,1.290558,-3.351559,-0.032755,-0.018948,0.003153,-0.055466,-0.058624,-0.928604,-0.010597,-0.064168,-0.495753
0.573828,0.062896,-0.997673,0.028961,0.009842,-172.824844,1.334022,-3.242635,-0.026923,-0.021488,0.003347,-0.061829,-0.067902,-0.933380,-0.011261,-0.063120,-0.495873
0.583855,0.062515,-0.997728,0.027863,0.009918,-172.867340,1.333682,-3.116889,-0.023287,-0.020073,0.003075,-0.061035,-0.074951,-0.951553,-0.011640,-0.062465,-0.495947
0.593882,0.062255,-0.997781,0.026779,0.009186,-172.893646,1.241408,-2.998377,-0.021419,-0.009878,0.001739,-0.042297,-0.079651,-0.973267,-0.011638,-0.062097,-0.495993
0.603909,0.062241,-0.997818,0.025803,0.007904,-172.890610,1.087858,-2.895691,-0.017185,0.000426,0.000322,-0.020706,-0.088791,-0.987167,-0.010832,-0.061871,-0.496040
0.613937,0.062622,-0.997825,0.024978,0.006622,-172.842575,0.936489,-2.810071,-0.011370,0.006419,-0.000583,-0.006149,-0.102036,-1.002792,-0.009493,-0.061901,-0.496064
0.623964,0.063477,-0.997794,0.024292,0.005524,-172.740875,0.808301,-2.738671,-0.004565,0.011760,-0.001402,0.007492,-0.118118,-1.014969,-0.008172,-0.062320,-0.496035
0.633992,0.064835,-0.997725,0.023743,0.004517,-172.582031,0.692799,-2.682137,0.000840,0.015796,-0.002025,0.018417,-0.133041,-1.030151,-0.007054,-0.063203,-0.495940
0.644019,0.066422,-0.997632,0.023377,0.003662,-172.397354,0.596600,-2.645647,0.002528,0.015066,-0.001993,0.019318,-0.141724,-1.046677,-0.006046,-0.064580,-0.495776
0.654046,0.068192,-0.997518,0.023239,0.003189,-172.192947,0.546142,-2.632539,0.003807,0.010211,-0.001404,0.010803,-0.148331,-1.049789,-0.005206,-0.066180,-0.495575
0.664074,0.070023,-0.997391,0.023239,0.003281,-171.983017,0.561433,-2.630789,0.004045,0.002342,-0.000360,-0.005035,-0.151093,-1.038986,-0.004766,-0.067949,-0.495340
0.674101,0.071868,-0.997258,0.023300,0.003647,-171.772110,0.608645,-2.633693,0.004969,-0.003002,0.000374,-0.016388,-0.154480,-1.022659,-0.004899,-0.069764,-0.495086
0.684128,0.073593,-0.997128,0.023346,0.004181,-171.575424,0.674614,-2.633409,0.006583,-0.008388,0.001143,-0.027954,-0.158478,-1.002136,-0.005311,-0.071586,-0.494822
0.694155,0.075180,-0.997008,0.023346,0.004654,-171.394363,0.732849,-2.628282,0.009875,-0.010873,0.001494,-0.033646,-0.165665,-0.983551,-0.005887,-0.073284,-0.494567
